建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
經品翫社區大樓,桃園分局,68000,68000010,新埔里,20,經國路,N/A,N/A,N/A,198,N/A,N/A,56,N/A,N/A,N/A,1、2,274,25.016971,121.306454,N/A
大睦敦品社區大樓,桃園分局,68000,68000010,三元里,4,N/A,N/A,民有八街,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,1、2、3,1464,25.007649,121.322151,N/A
元美診所,桃園分局,68000,68000010,文中里,3,文中一路,N/A,N/A,N/A,N/A,N/A,N/A,126,N/A,N/A,N/A,1,367,24.998551,121.293654,N/A
康晶釀社區大樓,桃園分局,68000,68000010,青溪里,15,春日路,N/A,N/A,N/A,N/A,N/A,N/A,352,N/A,N/A,N/A,1、2、3、4,401,25.017582,121.300869,N/A
桃園市立圖書館,桃園分局,68000,68000010,同安里,11,N/A,N/A,新埔六街,N/A,N/A,N/A,N/A,203,N/A,N/A,N/A,1、2,6452,25.018588,121.300663,N/A
美麗一森社區大樓,桃園分局,68000,68000010,文中里,3,正光路,N/A,N/A,N/A,421,N/A,N/A,13,N/A,N/A,N/A,1、2、3,808,25.000803,121.294435,N/A
桃園市立殯葬管理所,桃園分局,68000,68000010,汴洲里,12,大有路,N/A,N/A,N/A,N/A,N/A,N/A,916,2,N/A,N/A,1、2、3,4608,25.02161,121.316431,N/A
宜誠一方社區大樓,桃園分局,68000,68000010,中路里,4,N/A,N/A,益壽七街,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,1、2、3,1276,24.991836,121.291859,N/A
桃園市桃園區西門國民小學,桃園分局,68000,68000010,西門里,12,N/A,N/A,莒光街,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,1,181,24.995309,121.304362,N/A
桃園市桃園區北門國民小學,桃園分局,68000,68000010,信光里,24,N/A,N/A,正康三街,N/A,N/A,N/A,N/A,139,N/A,N/A,N/A,1,168,25.007427,121.307144,N/A
桃園市桃園區中埔國民小學,桃園分局,68000,68000010,中埔里,5,永安路,N/A,N/A,N/A,N/A,N/A,N/A,1054,N/A,N/A,N/A,1,1037,25.009268,121.287144,N/A
桃園市立桃園國民中學,桃園分局,68000,68000010,西門里,12,N/A,N/A,莒光街,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,1,183,24.995532,121.305058,N/A
桃園市立中興國民中學,桃園分局,68000,68000010,文中里,3,文中路,N/A,N/A,N/A,N/A,N/A,N/A,122,N/A,N/A,N/A,1,345,24.996381,121.290827,N/A
桃園市立陽明高級中等學校,桃園分局,68000,68000010,玉山里,2,N/A,N/A,德壽街,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,1,1599,24.980336,121.303225,N/A
桃園市立武陵高級中等學校,桃園分局,68000,68000010,中聖里,6,中山路,N/A,N/A,N/A,N/A,N/A,N/A,889,N/A,N/A,N/A,1,979,24.988217,121.28555,N/A
陽明青社區大樓,桃園分局,68000,68000010,豐林里,26,N/A,N/A,青田街,N/A,N/A,N/A,N/A,123,N/A,2樓,N/A,1,216,24.984183,121.309923,N/A
尊聖白金花園社區大樓,桃園分局,68000,68000010,文中里,3,力行路,N/A,N/A,N/A,N/A,N/A,N/A,717,N/A,四樓,N/A,1、2、3,1590,24.998022,121.28976,N/A
青和寬逸社區大樓,桃園分局,68000,68000010,中正里,22,文中一路,N/A,N/A,N/A,N/A,N/A,N/A,88,N/A,N/A,N/A,1、2、3、4,1029,24.997932,121.294236,N/A
君邑富域社區大樓,桃園分局,68000,68000010,南埔里,8,N/A,N/A,吉安街,N/A,N/A,N/A,N/A,36,N/A,N/A,N/A,1、2、3、4,756,25.005755,121.293709,N/A
福泰金城社區大樓,桃園分局,68000,68000010,東埔里,1,N/A,N/A,大華二街,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,1、2、3、4,1354,25.000674,121.308796,N/A
中路四號社會住宅,桃園分局,68000,68000010,中埔里,6,N/A,N/A,崇法街,N/A,N/A,N/A,N/A,170,N/A,12樓,N/A,1、2、3,1827,25.008069,121.284096,N/A
透天厝,桃園分局,68000,68000010,中寧里,6,N/A,N/A,同德五街,N/A,131,2,N/A,8,N/A,2樓,N/A,1,152,25.013754,121.29816,N/A
京澄雲朗社區大樓,桃園分局,68000,68000010,文中里,3,力行路,N/A,N/A,N/A,662,N/A,N/A,21,N/A,N/A,N/A,1、2、3,710,24.99866,121.292216,N/A
昭揚大郡社區大樓,桃園分局,68000,68000010,文中里,3,N/A,N/A,正光二街,N/A,151,N/A,N/A,9,N/A,二樓,N/A,1、2、3,1676,24.999561,121.293067,N/A
桃園市向陽社會服務協會,桃園分局,68000,68000010,中正里,26,N/A,N/A,廈門街,N/A,N/A,N/A,N/A,62,N/A,N/A,N/A,1,1427,24.995028,121.299235,N/A
中路三號社會住宅,桃園分局,68000,68000010,中埔里,6,N/A,N/A,崇法街,N/A,N/A,N/A,N/A,81,5,13樓,N/A,1、2、3,3117,25.007377,121.28568,N/A
遠雄青溪社區大樓,桃園分局,68000,68000010,青溪里,17,民光東路,N/A,N/A,N/A,N/A,N/A,N/A,371,N/A,5樓,N/A,1、2、3、4,1367,25.00551,121.31056,N/A
公寓,桃園分局,68000,68000010,中埔里,1,大興西路,N/A,N/A,三,N/A,N/A,N/A,88,N/A,N/A,N/A,1、2、3,2760,25.00609,121.290262,N/A
傳佳水悟道社區大樓,桃園分局,68000,68000010,青溪里,17,N/A,N/A,中央街,N/A,N/A,N/A,N/A,361,N/A,二樓,N/A,1、2、3、4B05,796,25.005072,121.314166,N/A
鴻築鴻苑社區大樓,桃園分局,68000,68000010,文中里,3,慈文路,N/A,N/A,N/A,N/A,N/A,N/A,805,N/A,23樓,N/A,1、2、3、4,2579,25.000728,121.293265,N/A
公寓,桃園分局,68000,68000010,中平里,9,N/A,N/A,泰昌二街,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,1,323,24.988837,121.296057,N/A
公寓,桃園分局,68000,68000010,文中里,3,力行路,N/A,N/A,N/A,N/A,N/A,N/A,758,N/A,6樓,N/A,1、2,175,24.998441,121.288372,N/A
昭揚樂社區大樓,桃園分局,68000,68000010,龍安里,3,N/A,N/A,國強十三街,N/A,N/A,N/A,N/A,95,N/A,N/A,N/A,1、2、3,1297,24.992275,121.276391,N/A
福倉雲硯社區大樓,桃園分局,68000,68000010,文中里,3,N/A,N/A,正光一街,N/A,N/A,N/A,N/A,201,N/A,N/A,N/A,1、2、3,840,24.99931,121.290941,N/A
百川水硯社區大樓,桃園分局,68000,68000010,青溪里,15,青溪二路,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,1、2、3、4,1250,25.003774,121.31286,N/A
定泰清溪翫社區大樓,桃園分局,68000,68000010,青溪里,16,日光路,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,1、2、3、4,1020,25.001843,121.311299,N/A
源峰欣境社區大樓,桃園分局,68000,68000010,中埔里,1,永安路,N/A,N/A,N/A,751,N/A,N/A,1,N/A,2樓,N/A,1、2、3,792,25.007734,121.291605,N/A
清龍居社區大樓,桃園分局,68000,68000010,文中里,3,N/A,N/A,正光一街,N/A,N/A,N/A,N/A,168,N/A,N/A,N/A,1、2,153,24.999154,121.291393,N/A
昭揚君硯社區大樓,桃園分局,68000,68000010,中成里,0,N/A,N/A,正光二街,N/A,8,N/A,N/A,26,N/A,N/A,N/A,1、2,1666,25.001555,121.297131,N/A
新世茂商貿大樓,桃園分局,68000,68000010,汴洲里,0,幸福路,N/A,N/A,N/A,N/A,N/A,N/A,206,N/A,N/A,N/A,1、2、3、4,980,25.02864,121.299554,N/A
